Title,Link,Model,Price,Agency,KMs_Rum,Location
2008 Nissan Xterra SE,https://www.carpages.ca/used-cars/ontario/london/2008-nissan-xterra-8708330/,SE,"$4,000",MacMaster Chevrolet,"331,556KM","London, ON"
2010 Jeep Patriot ,https://www.carpages.ca/used-cars/alberta/calgary/2010-jeep-patriot-8779307/,NA,"$4,000",Regal Auctions Ltd.,"179,616KM","Calgary, AB"
2011 Volkswagen Tiguan COMFORTLINE,https://www.carpages.ca/used-cars/ontario/komoka/2011-volkswagen-tiguan-8685983/,COMFORTLINE,"$4,200",Cars in Lobo,"285,405KM","Komoka, ON"
2010 Dodge Journey AS IS,https://www.carpages.ca/used-cars/ontario/nepean/2010-dodge-journey-8677799/,AS IS,"$4,489",Hyundai on Hunt Club,"210,563KM","Nepean, ON"
2011 Hyundai Santa Fe GL,https://www.carpages.ca/used-cars/nova-scotia/bridgewater/2011-hyundai-santa-fe-8569439/,GL,"$4,493",Steele Auto Group,"224,865KM","Bridgewater, NS"
2010 Kia Rondo LX,https://www.carpages.ca/used-cars/ontario/brampton/2010-kia-rondo-8802182/,LX,"$4,499",WMZ Auto Sales,"211,988KM","Brampton, ON"
2008 Mitsubishi Outlander XLS,https://www.carpages.ca/used-cars/ontario/hamilton/2008-mitsubishi-outlander-7833708/,XLS,"$4,499",Rim Ram Auto Sales,"261,129KM","Hamilton, ON"
2010 Kia Soul 5dr Wgn Man 4u,https://www.carpages.ca/used-cars/ontario/etobicoke/2010-kia-soul-8745344/,5dr Wgn Man 4u,"$4,500",Quality Motors,"209,413KM","Etobicoke, ON"
2011 Chevrolet Equinox 2LT AS-IS | YOU CERTIFY YOU SAVE!,https://www.carpages.ca/used-cars/ontario/kitchener/2011-chevrolet-equinox-8674457/,2LT AS-IS | YOU CERTIFY YOU SAVE!,"$4,500",Kitchener Ford Ltd,"248,931KM","Kitchener, ON"
2017 Ford Escape SE 4WD,https://www.carpages.ca/used-cars/ontario/stittsville/2017-ford-escape-8772077/,SE 4WD,"$4,500",CFT AUTO SALES,"175,099KM","Stittsville, ON"
2008 Jeep Patriot SPORT,https://www.carpages.ca/used-cars/ontario/kitchener/2008-jeep-patriot-8787866/,SPORT,"$4,600",Beta Auto Sales,"153,000KM","Kitchener, ON"
2010 Ford Escape 4WD 4dr V6 Auto Limited,https://www.carpages.ca/used-cars/ontario/mississauga/2010-ford-escape-8816105/,4WD 4dr V6 Auto Limited,"$4,620",Gardiner Motors,"207,000KM","Mississauga, ON"
2010 Dodge Journey FWD 4DR SE,https://www.carpages.ca/used-cars/ontario/brampton/2010-dodge-journey-8779859/,FWD 4DR SE,"$4,674",Sport Empire Car Sales,"185,000KM","Brampton, ON"
2008 Jeep Compass RWD Sport (Certified Included + 3 Month Warranty),https://www.carpages.ca/used-cars/ontario/cambridge/2008-jeep-compass-8797298/,RWD Sport (Certified Included + 3 Month Warranty),"$4,699",Roxy Auto Inc,"180,936KM","Cambridge, ON"
2009 Jeep Compass Rocky Mountain,https://www.carpages.ca/used-cars/ontario/hamilton/2009-jeep-compass-8700461/,Rocky Mountain,"$4,700",Star Vendor Auto,"222,743KM","Hamilton, ON"
2013 Chevrolet Trax LS,https://www.carpages.ca/used-cars/nova-scotia/dartmouth/2013-chevrolet-trax-8776847/,LS,"$4,700",Steele Auto Group,"206,460KM","Dartmouth, NS"
2011 Ford Flex limited,https://www.carpages.ca/used-cars/ontario/north-bay/2011-ford-flex-7507617/,limited,"$4,794",George Stockfish Ford Sales Ltd.,"210,079KM","North Bay, ON"
2011 Buick Enclave SOLD AS IS WE APPROVE ALL CREDIT.,https://www.carpages.ca/used-cars/ontario/mississauga/2011-buick-enclave-8623802/,SOLD AS IS WE APPROVE ALL CREDIT.,"$4,800",Redline Auto Sales,"279,000KM","Mississauga, ON"
2009 Ford Escape XLT,https://www.carpages.ca/used-cars/alberta/calgary/2009-ford-escape-8276037/,XLT,"$4,800",Regal Auctions Ltd.,"247,627KM","Calgary, AB"
2009 Subaru Forester 2.5 X AS IS - AWD - Sunroof - Cruise Control - Power Windows,https://www.carpages.ca/used-cars/ontario/north-bay/2009-subaru-forester-8645933/,2.5 X AS IS - AWD - Sunroof - Cruise Control - Power Windows,"$4,899",North Bay Mazda,"156,050KM","North Bay, ON"
2010 Ford Escape ,https://www.carpages.ca/used-cars/ontario/scarborough/2010-ford-escape-8798063/,NA,"$4,900",Quality Auto Center,CALL,"Scarborough, ON"
2008 Dodge Durango SLT,https://www.carpages.ca/used-cars/ontario/london/2008-dodge-durango-8447814/,SLT,"$4,900",MacMaster Chevrolet,"217,091KM","London, ON"
